indice_tiempo,origen_visitantes,visitas,observaciones
2008-1-01,no residentes,198407,
2008-1-01,residentes,352303,
2008-1-01,total,550710,
2008-10-01,no residentes,94065,
2008-10-01,residentes,148815,
2008-10-01,total,242880,
2008-11-01,no residentes,133914,
2008-11-01,residentes,115953,
2008-11-01,total,249867,
2008-12-01,no residentes,121848,
2008-12-01,residentes,125093,
2008-12-01,total,246941,
2008-2-01,no residentes,151809,
2008-2-01,residentes,283145,
2008-2-01,total,434953,
2008-3-01,no residentes,148533,
2008-3-01,residentes,173134,
2008-3-01,total,321667,
2008-4-01,no residentes,68558,
2008-4-01,residentes,61539,
2008-4-01,total,130097,
2008-5-01,no residentes,43751,
2008-5-01,residentes,48787,
2008-5-01,total,92538,
2008-6-01,no residentes,30907,
2008-6-01,residentes,40502,
2008-6-01,total,71409,
2008-7-01,no residentes,60520,
2008-7-01,residentes,134956,
2008-7-01,total,195476,
2008-8-01,no residentes,63082,
2008-8-01,residentes,122110,
2008-8-01,total,185192,
2008-9-01,no residentes,64259,
2008-9-01,residentes,109376,
2008-9-01,total,173635,
2009-1-01,no residentes,122439,
2009-1-01,residentes,398025,
2009-1-01,total,520463,
2009-10-01,no residentes,77256,
2009-10-01,residentes,153989,
2009-10-01,total,231245,
2009-11-01,no residentes,119309,
2009-11-01,residentes,121505,
2009-11-01,total,240814,
2009-12-01,no residentes,118908,
2009-12-01,residentes,119031,
2009-12-01,total,237939,
2009-2-01,no residentes,113619,
2009-2-01,residentes,279218,
2009-2-01,total,392837,
2009-3-01,no residentes,91824,
2009-3-01,residentes,136672,
2009-3-01,total,228496,
2009-4-01,no residentes,64864,
2009-4-01,residentes,135248,
2009-4-01,total,200112,
2009-5-01,no residentes,31467,
2009-5-01,residentes,80374,
2009-5-01,total,111840,
2009-6-01,no residentes,24737,
2009-6-01,residentes,60586,
2009-6-01,total,85323,
2009-7-01,no residentes,39257,
2009-7-01,residentes,142354,
2009-7-01,total,181611,
2009-8-01,no residentes,40970,
2009-8-01,residentes,84314,
2009-8-01,total,125284,
2009-9-01,no residentes,44477,
2009-9-01,residentes,119199,
2009-9-01,total,163676,
2010-1-01,no residentes,147736,
2010-1-01,residentes,446127,
2010-1-01,total,593863,
2010-10-01,no residentes,79844,
2010-10-01,residentes,192960,
2010-10-01,total,272804,
2010-11-01,no residentes,116621,
2010-11-01,residentes,161733,
2010-11-01,total,278354,
2010-12-01,no residentes,118075,
2010-12-01,residentes,129126,
2010-12-01,total,247201,
2010-2-01,no residentes,136069,
2010-2-01,residentes,288292,
2010-2-01,total,424360,
2010-3-01,no residentes,99504,
2010-3-01,residentes,157309,
2010-3-01,total,256813,
2010-4-01,no residentes,59521,
2010-4-01,residentes,154471,
2010-4-01,total,213992,
2010-5-01,no residentes,35595,
2010-5-01,residentes,109498,
2010-5-01,total,145093,
2010-6-01,no residentes,30423,
2010-6-01,residentes,66870,
2010-6-01,total,97293,
2010-7-01,no residentes,47398,
2010-7-01,residentes,200217,
2010-7-01,total,247616,
2010-8-01,no residentes,48446,
2010-8-01,residentes,116071,
2010-8-01,total,164518,
2010-9-01,no residentes,55963,
2010-9-01,residentes,135493,
2010-9-01,total,191456,
2011-1-01,no residentes,152863,
2011-1-01,residentes,485743,
2011-1-01,total,638606,
2011-10-01,no residentes,80704,
2011-10-01,residentes,174367,
2011-10-01,total,255071,
2011-11-01,no residentes,125783,
2011-11-01,residentes,144010,
2011-11-01,total,269793,
2011-12-01,no residentes,116655,
2011-12-01,residentes,160570,
2011-12-01,total,277225,
2011-2-01,no residentes,153067,
2011-2-01,residentes,282651,
2011-2-01,total,435718,
2011-3-01,no residentes,121398,
2011-3-01,residentes,198265,
2011-3-01,total,319663,
2011-4-01,no residentes,74086,
2011-4-01,residentes,135602,
2011-4-01,total,209688,
2011-5-01,no residentes,39347,
2011-5-01,residentes,80166,
2011-5-01,total,119513,
2011-6-01,no residentes,26387,
2011-6-01,residentes,59021,
2011-6-01,total,85408,
2011-7-01,no residentes,41973,
2011-7-01,residentes,187527,
2011-7-01,total,229501,
2011-8-01,no residentes,42894,
2011-8-01,residentes,100543,
2011-8-01,total,143437,
2011-9-01,no residentes,51776,
2011-9-01,residentes,139649,
2011-9-01,total,191425,
2012-1-01,no residentes,153712,
2012-1-01,residentes,472200,
2012-1-01,total,625912,
2012-10-01,no residentes,73194,
2012-10-01,residentes,188074,
2012-10-01,total,261268,
2012-11-01,no residentes,115422,
2012-11-01,residentes,168422,
2012-11-01,total,283843,
2012-12-01,no residentes,109077,
2012-12-01,residentes,127649,
2012-12-01,total,236726,
2012-2-01,no residentes,129239,
2012-2-01,residentes,306643,
2012-2-01,total,435882,
2012-3-01,no residentes,99718,
2012-3-01,residentes,148394,
2012-3-01,total,248112,
2012-4-01,no residentes,68873,
2012-4-01,residentes,210370,
2012-4-01,total,279243,
2012-5-01,no residentes,36298,
2012-5-01,residentes,89008,
2012-5-01,total,125306,
2012-6-01,no residentes,32770,
2012-6-01,residentes,75522,
2012-6-01,total,108291,
2012-7-01,no residentes,47717,
2012-7-01,residentes,250409,
2012-7-01,total,298126,
2012-8-01,no residentes,46998,
2012-8-01,residentes,117257,
2012-8-01,total,164255,
2012-9-01,no residentes,51429,
2012-9-01,residentes,172009,
2012-9-01,total,223438,
2013-1-01,no residentes,140270,
2013-1-01,residentes,603868,
2013-1-01,total,744137,
2013-10-01,no residentes,76027,
2013-10-01,residentes,186365,
2013-10-01,total,262392,
2013-11-01,no residentes,118351,
2013-11-01,residentes,164744,
2013-11-01,total,283095,
2013-12-01,no residentes,123812,
2013-12-01,residentes,142943,
2013-12-01,total,266755,
2013-2-01,no residentes,126550,
2013-2-01,residentes,370700,
2013-2-01,total,497250,
2013-3-01,no residentes,101734,
2013-3-01,residentes,261101,
2013-3-01,total,362834,
2013-4-01,no residentes,57975,
2013-4-01,residentes,143655,
2013-4-01,total,201630,
2013-5-01,no residentes,41278,
2013-5-01,residentes,77896,
2013-5-01,total,119174,
2013-6-01,no residentes,32863,
2013-6-01,residentes,103177,
2013-6-01,total,136040,
2013-7-01,no residentes,55526,
2013-7-01,residentes,192877,
2013-7-01,total,248403,
2013-8-01,no residentes,50385,
2013-8-01,residentes,109640,
2013-8-01,total,160026,
2013-9-01,no residentes,55223,
2013-9-01,residentes,150852,
2013-9-01,total,206075,
2014-1-01,no residentes,217584,
2014-1-01,residentes,648643,
2014-1-01,total,866227,
2014-10-01,no residentes,84112,
2014-10-01,residentes,211676,
2014-10-01,total,295787,
2014-11-01,no residentes,126125,
2014-11-01,residentes,184015,
2014-11-01,total,310140,
2014-12-01,no residentes,132326,
2014-12-01,residentes,171611,
2014-12-01,total,303937,
2014-2-01,no residentes,138343,
2014-2-01,residentes,357020,
2014-2-01,total,495363,
2014-3-01,no residentes,110474,
2014-3-01,residentes,247171,
2014-3-01,total,357645,
2014-4-01,no residentes,78462,
2014-4-01,residentes,169091,
2014-4-01,total,247553,
2014-5-01,no residentes,48533,
2014-5-01,residentes,120325,
2014-5-01,total,168858,
2014-6-01,no residentes,66327,
2014-6-01,residentes,105905,
2014-6-01,total,172231,
2014-7-01,no residentes,54257,
2014-7-01,residentes,178958,
2014-7-01,total,233215,
2014-8-01,no residentes,51437,
2014-8-01,residentes,130113,
2014-8-01,total,181550,
2014-9-01,no residentes,74631,
2014-9-01,residentes,184857,
2014-9-01,total,259488,
2015-1-01,no residentes,163291,
2015-1-01,residentes,536250,
2015-1-01,total,699541,
2015-10-01,no residentes,80692,
2015-10-01,residentes,226689,
2015-10-01,total,307381,
2015-11-01,no residentes,119843,
2015-11-01,residentes,180642,
2015-11-01,total,300485,
2015-12-01,no residentes,121179,
2015-12-01,residentes,167339,
2015-12-01,total,288519,
2015-2-01,no residentes,142171,
2015-2-01,residentes,378190,
2015-2-01,total,520361,
2015-3-01,no residentes,104946,
2015-3-01,residentes,221454,
2015-3-01,total,326400,
2015-4-01,no residentes,69591,
2015-4-01,residentes,170013,
2015-4-01,total,239605,
2015-5-01,no residentes,45011,
2015-5-01,residentes,112010,
2015-5-01,total,157021,
2015-6-01,no residentes,37735,
2015-6-01,residentes,81520,
2015-6-01,total,119255,
2015-7-01,no residentes,57259,
2015-7-01,residentes,260262,
2015-7-01,total,317522,
2015-8-01,no residentes,53258,
2015-8-01,residentes,143485,
2015-8-01,total,196744,
2015-9-01,no residentes,58459,
2015-9-01,residentes,191124,
2015-9-01,total,249583,
2016-1-01,no residentes,144572,
2016-1-01,residentes,480017,
2016-1-01,total,624590,
2016-10-01,no residentes,86348,
2016-10-01,residentes,235019,
2016-10-01,total,321367,
2016-11-01,no residentes,130842,
2016-11-01,residentes,174580,
2016-11-01,total,305422,
2016-12-01,no residentes,131606,
2016-12-01,residentes,192492,
2016-12-01,total,324098,
2016-2-01,no residentes,136532,
2016-2-01,residentes,315636,
2016-2-01,total,452168,
2016-3-01,no residentes,108567,
2016-3-01,residentes,215765,
2016-3-01,total,324333,
2016-4-01,no residentes,59626,
2016-4-01,residentes,108931,
2016-4-01,total,168556,
2016-5-01,no residentes,41315,
2016-5-01,residentes,82860,
2016-5-01,total,124175,
2016-6-01,no residentes,35227,
2016-6-01,residentes,91504,
2016-6-01,total,126732,
2016-7-01,no residentes,54162,
2016-7-01,residentes,260166,
2016-7-01,total,314327,
2016-8-01,no residentes,51469,
2016-8-01,residentes,140327,
2016-8-01,total,191796,
2016-9-01,no residentes,56229,
2016-9-01,residentes,192906,
2016-9-01,total,249135,
2017-1-01,no residentes,163936,
2017-1-01,residentes,536751,
2017-1-01,total,700687,
2017-10-01,no residentes,85514,
2017-10-01,residentes,225110,
2017-10-01,total,310624,
2017-11-01,no residentes,131189,
2017-11-01,residentes,189933,
2017-11-01,total,321122,
2017-12-01,no residentes,136133,
2017-12-01,residentes,194387,
2017-12-01,total,330520,
2017-2-01,no residentes,132613,
2017-2-01,residentes,400742,
2017-2-01,total,533355,
2017-3-01,no residentes,99591,
2017-3-01,residentes,212950,
2017-3-01,total,312541,
2017-4-01,no residentes,77803,
2017-4-01,residentes,181061,
2017-4-01,total,258864,
2017-5-01,no residentes,38927,
2017-5-01,residentes,102332,
2017-5-01,total,141259,
2017-6-01,no residentes,36187,
2017-6-01,residentes,86836,
2017-6-01,total,123023,
2017-7-01,no residentes,61108,
2017-7-01,residentes,260996,
2017-7-01,total,322104,
2017-8-01,no residentes,52957,
2017-8-01,residentes,154585,
2017-8-01,total,207542,
2017-9-01,no residentes,62077,
2017-9-01,residentes,197905,
2017-9-01,total,259982,
2018-1-01,no residentes,167987,
2018-1-01,residentes,514310,
2018-1-01,total,682297,
2018-10-01,no residentes,102086,
2018-10-01,residentes,239909,
2018-10-01,total,341995,
2018-11-01,no residentes,160901,
2018-11-01,residentes,191850,
2018-11-01,total,352751,
2018-12-01,no residentes,169074,
2018-12-01,residentes,193070,
2018-12-01,total,362144,
2018-2-01,no residentes,142845,
2018-2-01,residentes,373528,
2018-2-01,total,516373,
2018-3-01,no residentes,121394,
2018-3-01,residentes,253720,
2018-3-01,total,375114,
2018-4-01,no residentes,68628,
2018-4-01,residentes,186623,
2018-4-01,total,255251,
2018-5-01,no residentes,46612,
2018-5-01,residentes,116078,
2018-5-01,total,162690,
2018-6-01,no residentes,34394,
2018-6-01,residentes,97394,
2018-6-01,total,131788,
2018-7-01,no residentes,63406,
2018-7-01,residentes,280069,
2018-7-01,total,343475,
2018-8-01,no residentes,58311,
2018-8-01,residentes,176101,
2018-8-01,total,234412,
2018-9-01,no residentes,70745,
2018-9-01,residentes,198316,
2018-9-01,total,269061,
2019-1-01,no residentes,208253,
2019-1-01,residentes,406763,
2019-1-01,total,615016,
2019-10-01,no residentes,118561,
2019-10-01,residentes,240434,
2019-10-01,total,358995,
2019-11-01,no residentes,180036,
2019-11-01,residentes,224485,
2019-11-01,total,404521,
2019-12-01,no residentes,193262,
2019-12-01,residentes,242894,
2019-12-01,total,436156,
2019-2-01,no residentes,170987,
2019-2-01,residentes,305087,
2019-2-01,total,476074,
2019-3-01,no residentes,152927,
2019-3-01,residentes,255746,
2019-3-01,total,408673,
2019-4-01,no residentes,104369,
2019-4-01,residentes,205724,
2019-4-01,total,310093,
2019-5-01,no residentes,53137,
2019-5-01,residentes,123390,
2019-5-01,total,176527,
2019-6-01,no residentes,47408,
2019-6-01,residentes,136894,
2019-6-01,total,184302,
2019-7-01,no residentes,79156,
2019-7-01,residentes,296854,
2019-7-01,total,376010,
2019-8-01,no residentes,71322,
2019-8-01,residentes,186665,
2019-8-01,total,257987,
2019-9-01,no residentes,80679,
2019-9-01,residentes,213871,
2019-9-01,total,294550,
2020-1-01,no residentes,226961,
2020-1-01,residentes,552057,
2020-1-01,total,779018,
2020-10-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-10-01,residentes,17166,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-10-01,total,17166,Emergencia sanitaria.
2020-11-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-11-01,residentes,26511,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-11-01,total,26511,Emergencia sanitaria.
2020-12-01,no residentes,320,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-12-01,residentes,38852,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-12-01,total,39172,Emergencia sanitaria.
2020-2-01,no residentes,200511,
2020-2-01,residentes,416417,
2020-2-01,total,616928,
2020-3-01,no residentes,72320,
2020-3-01,residentes,105414,
2020-3-01,total,177733,
2020-4-01,no residentes,0,
2020-4-01,residentes,0,
2020-4-01,total,0,
2020-5-01,no residentes,0,
2020-5-01,residentes,0,
2020-5-01,total,0,
2020-6-01,no residentes,0,
2020-6-01,residentes,0,
2020-6-01,total,0,
2020-7-01,no residentes,0,
2020-7-01,residentes,3410,
2020-7-01,total,3410,
2020-8-01,no residentes,0,
2020-8-01,residentes,5680,
2020-8-01,total,5680,
2020-9-01,no residentes,0,
2020-9-01,residentes,10460,
2020-9-01,total,10460,
2021-1-01,no residentes,405,
2021-1-01,residentes,203558,
2021-1-01,total,203963,
2021-10-01,no residentes,1830,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-10-01,residentes,270350,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-10-01,total,272180,Emergencia sanitaria.
2021-11-01,no residentes,11554,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-11-01,residentes,256927,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-11-01,total,268481,Emergencia sanitaria.
2021-12-01,no residentes,23469,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-12-01,residentes,248124,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-12-01,total,271593,Emergencia sanitaria.
2021-2-01,no residentes,287,
2021-2-01,residentes,226091,
2021-2-01,total,226378,
2021-3-01,no residentes,379,
2021-3-01,residentes,165758,
2021-3-01,total,166137,
2021-4-01,no residentes,428,
2021-4-01,residentes,103250,
2021-4-01,total,103678,
2021-5-01,no residentes,147,
2021-5-01,residentes,31393,
2021-5-01,total,31540,
2021-6-01,no residentes,101,
2021-6-01,residentes,19957,
2021-6-01,total,20058,
2021-7-01,no residentes,321,
2021-7-01,residentes,143062,
2021-7-01,total,143383,
2021-8-01,no residentes,381,
2021-8-01,residentes,137306,
2021-8-01,total,137687,
2021-9-01,no residentes,235,
2021-9-01,residentes,174578,
2021-9-01,total,174813,
2022-1-01,no residentes,32559,
2022-1-01,residentes,573710,
2022-1-01,total,606269,
2022-10-01,no residentes,67705,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-10-01,residentes,295141,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-10-01,total,362846,Emergencia sanitaria.
2022-11-01,no residentes,101249,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-11-01,residentes,268217,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-11-01,total,369466,Emergencia sanitaria.
2022-12-01,no residentes,113129,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-12-01,residentes,157244,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-12-01,total,270373,Emergencia sanitaria.
2022-2-01,no residentes,30781,
2022-2-01,residentes,513855,
2022-2-01,total,544636,
2022-3-01,no residentes,41046,
2022-3-01,residentes,335800,
2022-3-01,total,376846,
2022-4-01,no residentes,50218,
2022-4-01,residentes,273026,
2022-4-01,total,323244,
2022-5-01,no residentes,31032,
2022-5-01,residentes,166929,
2022-5-01,total,197961,
2022-6-01,no residentes,29668,
2022-6-01,residentes,161304,
2022-6-01,total,190972,
2022-7-01,no residentes,56071,
2022-7-01,residentes,317351,
2022-7-01,total,373422,
2022-8-01,no residentes,46986,
2022-8-01,residentes,198709,
2022-8-01,total,245695,
2022-9-01,no residentes,54277,
2022-9-01,residentes,224383,
2022-9-01,total,278660,
2023-1-01,no residentes,150293,
2023-1-01,residentes,449024,
2023-1-01,total,599317,
2023-10-01,no residentes,103087,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-10-01,residentes,269240,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-10-01,total,372327,Emergencia sanitaria.
2023-11-01,no residentes,140115,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-11-01,residentes,178336,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-11-01,total,318451,Emergencia sanitaria.
2023-12-01,no residentes,227203,
2023-12-01,residentes,154504,
2023-12-01,total,381707,"Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2023-2-01,no residentes,133987,
2023-2-01,residentes,354687,
2023-2-01,total,488674,
2023-3-01,no residentes,120908,
2023-3-01,residentes,206607,
2023-3-01,total,327515,
2023-4-01,no residentes,105174,
2023-4-01,residentes,224651,
2023-4-01,total,329825,
2023-5-01,no residentes,57883,
2023-5-01,residentes,197834,
2023-5-01,total,255717,
2023-6-01,no residentes,49413,
2023-6-01,residentes,214305,
2023-6-01,total,263718,
2023-7-01,no residentes,70698,
2023-7-01,residentes,311946,
2023-7-01,total,382644,
2023-8-01,no residentes,73836,
2023-8-01,residentes,181579,
2023-8-01,total,255415,
2023-9-01,no residentes,90510,
2023-9-01,residentes,206308,
2023-9-01,total,296818,
2024-1-01,no residentes,196222,
2024-1-01,residentes,316674,
2024-1-01,total,512896,
2024-10-01,no residentes,106803,
2024-10-01,residentes,231674,
2024-10-01,total,338477,"No se recibió información de visitas de los PN Ansenuza, Laguna Blanca, Isla Pinguino, Laguna de los Pozuelos, Sierra de las Quijadas, El Impenetrable, Formosa y la RN Pizarro; el PN Traslasierra permaneció cerrado en octubre por incendio forestal y posteriores lluvias. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año."
2024-11-01,no residentes,136519,
2024-11-01,residentes,183379,
2024-11-01,total,319898,"No se recibió información de visitas de los PN Ansenuza, Isla Pinguino, Sierra de las Quijadas, Formosa, Ciervo de los Pantanos, Los Alerces, Los Cardones, Patagonia y la RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  En el PN Los Glaciares, se incluyó el registro en la zona norte del parque con las portadas Fitz Roy y Río Eléctrico"
2024-12-01,no residentes,129059,
2024-12-01,residentes,184987,
2024-12-01,total,314046,"No se recibió información de visitas de los PN Ansenuza, Formosa, Traslasierra y RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  En el PN Los Glaciares, se incluyó el registro en la zona norte del parque con las portadas Fitz Roy y Río Eléctrico"
2024-2-01,no residentes,185483,
2024-2-01,residentes,229585,
2024-2-01,total,415068,
2024-3-01,no residentes,166289,
2024-3-01,residentes,194292,
2024-3-01,total,360581,
2024-4-01,no residentes,97217,
2024-4-01,residentes,127408,
2024-4-01,total,224625,
2024-5-01,no residentes,58671,
2024-5-01,residentes,87498,
2024-5-01,total,146169,
2024-6-01,no residentes,44258,
2024-6-01,residentes,130172,
2024-6-01,total,174430,
2024-7-01,no residentes,89316,
2024-7-01,residentes,247460,
2024-7-01,total,336776,
2024-8-01,no residentes,73460,
2024-8-01,residentes,135229,
2024-8-01,total,208689,
2024-9-01,no residentes,72981,
2024-9-01,residentes,176751,
2024-9-01,total,249732,
2025-1-01,no residentes,163035,
2025-1-01,residentes,397512,
2025-1-01,total,560547,
2025-10-01,no residentes,120185,
2025-10-01,residentes,248679,
2025-10-01,total,368864,
2025-11-01,no residentes,165269,
2025-11-01,residentes,215574,
2025-11-01,total,380843,
2025-12-01,no residentes,176615,
2025-12-01,residentes,154662,
2025-12-01,total,331277,
2025-2-01,no residentes,138650,
2025-2-01,residentes,276313,
2025-2-01,total,414963,
2025-3-01,no residentes,135009,
2025-3-01,residentes,239343,
2025-3-01,total,374352,
2025-4-01,no residentes,81090,
2025-4-01,residentes,184195,
2025-4-01,total,265285,
2025-5-01,no residentes,44793,
2025-5-01,residentes,148488,
2025-5-01,total,193281,
2025-6-01,no residentes,40926,
2025-6-01,residentes,125633,
2025-6-01,total,166559,
2025-7-01,no residentes,68352,
2025-7-01,residentes,284084,
2025-7-01,total,352436,
2025-8-01,no residentes,72856,
2025-8-01,residentes,189177,
2025-8-01,total,262033,
2025-9-01,no residentes,82295,
2025-9-01,residentes,214528,
2025-9-01,total,296823,
2026-1-01,no residentes,200488,
2026-1-01,residentes,339164,
2026-1-01,total,539652,
2026-2-01,no residentes,183713,
2026-2-01,residentes,278902,
2026-2-01,total,462615,
2026-3-01,no residentes,168297,
2026-3-01,residentes,180758,
2026-3-01,total,349055,
2026-4-01,no residentes,107082,
2026-4-01,residentes,152884,
2026-4-01,total,259966,
